Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Epoch16,Epoch17,Epoch18,Epoch19,Epoch20,Epoch21,Epoch22
3.35937500e-01,2.81250000e-01,2.57812500e-01,2.57812500e-01,1.56250000e-01,1.01562500e-01,3.12500000e-02,2.50000000e-01,3.82812500e-01,5.46875000e-01,7.57812500e-01,7.73437500e-01,8.28125000e-01,9.53125000e-01,9.84375000e-01,9.84375000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,9.92187500e-01,1.00000000e+00,1.00000000e+00
-3.98437500e-01,-3.43750000e-01,-2.73437500e-01,-2.03125000e-01,-1.87500000e-01,-1.64062500e-01,-3.28125000e-01,-4.14062500e-01,-5.31250000e-01,-6.64062500e-01,-7.10937500e-01,-8.59375000e-01,-8.90625000e-01,-9.53125000e-01,-9.92187500e-01,-9.92187500e-01,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00
3.59375000e-01,3.20312500e-01,4.53125000e-01,4.45312500e-01,3.67187500e-01,3.98437500e-01,3.98437500e-01,5.62500000e-01,6.64062500e-01,7.89062500e-01,8.35937500e-01,8.90625000e-01,9.14062500e-01,9.76562500e-01,1.00000000e+00,9.92187500e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
-3.43750000e-01,-4.53125000e-01,-4.68750000e-01,-4.68750000e-01,-4.60937500e-01,-4.21875000e-01,-3.98437500e-01,-6.32812500e-01,-6.64062500e-01,-8.04687500e-01,-8.35937500e-01,-9.37500000e-01,-9.21875000e-01,-9.60937500e-01,-9.92187500e-01,-9.92187500e-01,-9.92187500e-01,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00
3.67187500e-01,1.79687500e-01,1.95312500e-01,6.25000000e-02,-1.56250000e-02,-7.81250000e-03,7.81250000e-03,2.65625000e-01,3.35937500e-01,5.62500000e-01,7.03125000e-01,8.28125000e-01,8.75000000e-01,9.53125000e-01,9.92187500e-01,9.84375000e-01,1.00000000e+00,9.92187500e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
-2.81250000e-01,-2.89062500e-01,-4.37500000e-01,-4.60937500e-01,-4.21875000e-01,-4.21875000e-01,-3.82812500e-01,-5.78125000e-01,-6.71875000e-01,-7.89062500e-01,-8.51562500e-01,-9.45312500e-01,-8.90625000e-01,-9.76562500e-01,-9.84375000e-01,-9.92187500e-01,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-9.92187500e-01,-1.00000000e+00,-1.00000000e+00
3.04687500e-01,3.35937500e-01,5.54687500e-01,4.37500000e-01,3.98437500e-01,3.98437500e-01,2.50000000e-01,4.29687500e-01,6.71875000e-01,7.57812500e-01,8.12500000e-01,8.82812500e-01,9.14062500e-01,9.68750000e-01,9.92187500e-01,9.92187500e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,9.92187500e-01
-4.37500000e-01,-2.42187500e-01,-3.75000000e-01,-2.89062500e-01,-1.95312500e-01,-4.45312500e-01,-3.90625000e-01,-4.60937500e-01,-4.92187500e-01,-7.81250000e-01,-8.51562500e-01,-8.98437500e-01,-9.06250000e-01,-9.76562500e-01,-1.00000000e+00,-9.84375000e-01,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-9.92187500e-01,-1.00000000e+00
3.98437500e-01,3.43750000e-01,5.00000000e-01,5.15625000e-01,4.29687500e-01,4.37500000e-01,3.82812500e-01,5.54687500e-01,6.40625000e-01,7.34375000e-01,8.51562500e-01,9.14062500e-01,8.98437500e-01,9.76562500e-01,9.92187500e-01,9.92187500e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
-3.98437500e-01,2.34375000e-02,-2.18750000e-01,-1.01562500e-01,-5.46875000e-02,-5.46875000e-02,-7.81250000e-02,-2.73437500e-01,-3.90625000e-01,-5.46875000e-01,-7.42187500e-01,-8.20312500e-01,-8.12500000e-01,-9.45312500e-01,-9.53125000e-01,-9.84375000e-01,-9.76562500e-01,-1.00000000e+00,-9.92187500e-01,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00
2.96875000e-01,2.57812500e-01,1.56250000e-01,7.81250000e-02,-3.12500000e-02,-3.90625000e-02,1.01562500e-01,2.96875000e-01,3.98437500e-01,5.31250000e-01,6.40625000e-01,8.75000000e-01,8.75000000e-01,9.45312500e-01,9.84375000e-01,9.92187500e-01,9.92187500e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
-2.89062500e-01,-3.51562500e-01,-2.81250000e-01,-3.98437500e-01,-4.29687500e-01,-4.53125000e-01,-3.59375000e-01,-5.31250000e-01,-6.56250000e-01,-8.20312500e-01,-8.51562500e-01,-9.29687500e-01,-9.14062500e-01,-9.45312500e-01,-1.00000000e+00,-9.92187500e-01,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-9.92187500e-01,-1.00000000e+00
4.45312500e-01,2.89062500e-01,5.00000000e-01,4.45312500e-01,3.90625000e-01,3.82812500e-01,3.28125000e-01,5.62500000e-01,6.25000000e-01,7.57812500e-01,8.51562500e-01,9.29687500e-01,9.14062500e-01,9.76562500e-01,1.00000000e+00,9.92187500e-01,1.00000000e+00,9.92187500e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
-3.75000000e-01,-2.50000000e-01,-2.96875000e-01,-4.06250000e-01,-3.67187500e-01,-3.82812500e-01,-3.51562500e-01,-5.23437500e-01,-6.56250000e-01,-7.42187500e-01,-7.81250000e-01,-9.37500000e-01,-9.06250000e-01,-9.68750000e-01,-1.00000000e+00,-9.92187500e-01,-1.00000000e+00,-9.92187500e-01,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00
3.43750000e-01,3.90625000e-01,4.53125000e-01,4.92187500e-01,4.68750000e-01,5.23437500e-01,4.37500000e-01,5.62500000e-01,6.87500000e-01,7.81250000e-01,8.51562500e-01,9.29687500e-01,9.06250000e-01,9.60937500e-01,9.92187500e-01,9.92187500e-01,9.92187500e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
-3.28125000e-01,-2.73437500e-01,-3.67187500e-01,-3.67187500e-01,-3.75000000e-01,-2.50000000e-01,-3.20312500e-01,-5.54687500e-01,-5.93750000e-01,-7.65625000e-01,-8.04687500e-01,-9.06250000e-01,-8.90625000e-01,-9.76562500e-01,-1.00000000e+00,-9.84375000e-01,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00
2.89062500e-01,2.65625000e-01,3.90625000e-01,3.43750000e-01,3.59375000e-01,3.67187500e-01,2.96875000e-01,4.45312500e-01,6.32812500e-01,7.96875000e-01,8.51562500e-01,9.14062500e-01,8.90625000e-01,9.76562500e-01,9.92187500e-01,9.84375000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
-2.96875000e-01,-3.67187500e-01,-4.76562500e-01,-4.37500000e-01,-4.37500000e-01,-4.68750000e-01,-4.14062500e-01,-5.39062500e-01,-6.64062500e-01,-7.89062500e-01,-8.75000000e-01,-9.21875000e-01,-9.06250000e-01,-9.68750000e-01,-1.00000000e+00,-9.92187500e-01,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00
